sentiment,Content
33.333333333333336,keberhasilan vaksin sinovac
0.0,@bogorfess_ Cibinong vaksin sinovac ke 2 dan ktp non domisili 😅
9.090909090909092,@kentvrama setelah dapat 2kali vaksin sinovac saya tetap jadi pengangguran
15.384615384615385,Info vaksin sinovac dong di Bogor? Terima kasih 🙏🏼 [Bgr]
0.0,info vaksin sinovac area tangerang/jakarta barat/jakbar utk bulan september dong
-5.2631578947368425,@tubirfess aku sempet mundur 3 hari... vaksin sinovac.. gpp sih karena emang dr penyedianya mundur juga
0.0,gak ditemenin gara gara vaksin sinovac bukan moderna 🙂
0.0,"Vaksin Aztrazaneca kro Vaksin Sinovac bedane opo seh anjir podo² vaksin nggo nyegah covid ae, tetanggaku serik kabeh pas keluarga ne bapakku entuk vaksin lek Sinovac hadeh jian"
-4.166666666666667,WOELAHH INI KENAPA YANG VAKSIN SINOVAC TIBA TIBA LANGSUNG PADA BERUBAH JADI VAKSIN PFIZER SIII. INI GUA SUNTIK DIMANA DONG JADINYA ANJGGG WKWK
0.0,"Agak kesel besok gajadi vaksin, sinovac habis jadinya diganti sama vaksin frize 🤠"
0.0,"[tf] tolong info vaksin sinovac dosis 1 sekitaran tegal kota, ngendi ya? suwun"
-2.1739130434782608,"@syamean 1. Sbb mula2 vaksin dibagi ikut kawasan zone which masa tu Sarawak adalah red zone, and 2. sbb kerajaan Sarawak perlu adakan pilihan raya asap, so mmg kena percepatkan vaksin, 3. Sarawak ada beli vaksin sinovac sendiri."
0.0,"VAKSINASI COVID-19 SMK MUH 3 WATES
*Untuk masyarakat UMUM

Sasaran : usia 12 tahun ke atas
Hari : SENIN, 30 Agustus 2021
Waktu : 11.00 s/d 13.00 WIB
Tempat : SMK MUHAMMADIYAH 3 WATES
Jenis Vaksin : Sinovac

Syarat dan ketentuan bisa dilihat di link:
https://t.co/wPx9tZeZSU"
8.333333333333334,"“Sebagaimana contoh di negara kita ini ada syarikat Pharmaniaga yang membotolkan vaksin Sinovac, jadi mereka sentiasa standby vaksin di kilang mereka."
-2.6315789473684212,Persis sama yg gua pikirkan sekarang😭 Alhamdulillah setelah baca ini jadi tenang dan g nyesel lagi udh vaksin sinovac. Toh tinggal nanti dosis ke 3 pake yg jenis lain https://t.co/OfWY41A1mw
-6.451612903225806,"Bener2 vaksin moderna , biasanya vaksin sinovac 2x gk knapa2 
Kali ini abis vaksin moderna tumbang padahal virus yg sudah di lemahkan apalagi yg kena virus covid yg blm dilemahkan☹️"
0.0,Cah ada yang tau info vaksin sinovac dosisi 1 dimana ya?
-7.6923076923076925,ini efek vaksin sinovac berapa lama dah. bawaannya gua ngantuk mulu yaAllah
-9.090909090909092,abis vaksin sinovac tangan kiri agak linu yaw kalo di angkat
0.0,-rek info vaksin sinovac /moderna /pfizer dong
0.0,Info vaksin sinovac dosis kedua dong buat nyokap tanggal 1 nanti. Makasih
4.166666666666667,"@PLindungi tolong saya, kemarin tgl 28 Agustus 2021 saya dengan istri saya sudah vaksin sinovac tahap 1,
Tetapi kami sudah di instruksi kan untuk pulang sebelum kami mendapatkan tanda /sertifikasi vaksin,

Di karenankan sinyal internet di wilayah kami kurang bagus, jadi proses"
-4.3478260869565215,"@WolfeyFoxxy @PLindungi Sudah dicoba, Tapi masih belum ada. Tapi kalo cara itu buat yang vaksin Sinovac bisa kebuka kak"
1.9230769230769231,Definisi rejeki ga bakalan ketuker. Kira2 sebulan lalu mau vaksin sinovac tp ga bs krn ternyata tensi lg tinggi banget. Krn emang gue lg ga minum obat rutin. Stlh itu mulai rajinin minum obat lg. Dan hr ini tau2 puskesmas di dpn komplek lg ada vaksinasi pfizer.
0.0,@BucinKakWonu @AREAJULID katanya si yg sinovac lebih ringan(?) aku kmrn udah daftar di astra tp gagal gara2 masih 17 thn. trs kata dokternya aku disuruh vaksin sinovac gt
